Name,Age,Education,Children,Profession,Phone,Amount,Return credit
Ефремия Арлушина,22,4,5,Философ,78659156324,142000,1
Цив Штенгель,60,2,5,Бизнес-аналитик,72483232051,136000,1
Василей Ботинов,42,6,2,Анестезиолог,72144293745,144000,1
Урания Лябузова,35,1,3,Историк,78633520746,117000,0
Бартош Клиперт,29,4,0,Гид-переводчик,71357000258,115000,0
Толэн Лопенев,89,1,1,Фармацевт,78704124276,132000,0
Джульяна Скавитина,47,3,1,Стрелочник,72001042360,131000,1
Кеке Дрейн,66,3,3,Стрелочник,73070714968,105000,1
Алимамед Клубов,44,4,0,Ботаник,79185451561,138000,0
Мартиза Коллегова,47,8,1,Винодел,78438471207,108000,1
Саки Цедов,68,0,7,Главный инженер,72577488973,107000,0
Герш Шкарлов,44,9,1,Менеджер по туризму,71742220326,110000,1
Альдимира Копылова,32,3,1,Проходчик,79570100935,132000,0
Анафан Сяплин,83,5,6,Копирайтер,75390771071,106000,0
Белгика Зимоздра,33,4,5,Аниматор,76582681772,112000,0
Амбрузия Бабеева,74,1,5,Животновод,72359151299,124000,1
Бунафша Вялшева,29,4,4,Педиатр,78003510494,146000,1
Алтыншах Флягантов,29,0,5,Учитель,71793054652,139000,0
Ямм Копчев,93,5,5,Автогонщик,77377580875,117000,0
Мала Лахмакова,49,3,7,Танцор балета,71946582138,125000,1
Луизана Воекова,45,0,2,Палеонтолог,72051800857,107000,1
Стирлинг Зиновичев,52,1,3,Проводник,75862689410,122000,0
Йекта Плахотишина,56,1,7,Диджей,78715114641,146000,0
Пацифика Кныжова,75,2,1,Производственный мастер,76213684567,145000,0
Митрина Талеглаева,55,2,2,Судья,77573017987,102000,0
Чадомир Замолоцких,60,6,1,Проходчик,73383329419,130000,1
Лайманис Аристрахов,81,2,4,Переводчик,72891594864,143000,0
Фаба Сабиева,47,3,2,Ремонтник,71105846713,102000,0
Зорина Сигаловксая,27,3,7,Банкир,77692592130,126000,1
Газинур Чулицкий,95,6,3,Бренд-дизайнер,77870581108,105000,0
Зеония Белистова,35,9,6,Дегустатор,72390663138,137000,0
Уитни Човдыров,33,4,2,Ортопед,77728378328,123000,0
Бунесса Курихина,36,6,6,Орнитолог,76826714299,108000,1
Уэйлс Меркутов,56,1,2,Главный технолог,79031170003,140000,0
Махер Обрезко,96,6,0,Стрелочник,75911871371,116000,0
Светолика Жубрикова,59,3,6,Генеральный секретарь,79749872144,140000,1
Еврений Кулумбеков,96,6,5,Сапожник,73039877702,129000,1
Альгимонтас Лобаданов,78,2,4,Инфекционист,78030706111,147000,0
Итон Порепелкин,35,3,3,Почтальон,73593301051,114000,0
Азизя Кияшева,30,8,0,Менеджер по продажам,72698089213,115000,1
Улиянна Стешинская,94,8,1,Охранник,75992783391,147000,0
Ласкарис Дордан,92,9,5,Маляр,72206348938,148000,0
Артамон Фуркин,53,0,0,Копирайтер,76723451343,139000,0
Тан Юман,64,2,3,Мануалист,75104384535,123000,0
Гермократ Мячихин,48,4,7,Аниматор,78744663667,110000,0
Гарася Агутина,58,7,7,Инженер-конструктор,72114193963,121000,1
Мэддокс Кожуховский,29,6,3,Бизнес-аналитик,79523451142,138000,1
Эльмият Равшанов,19,7,5,Продакт-менеджер,71978612796,111000,1
Лариада Конануха,73,6,7,Прозектор,71981476133,131000,1
Яина Драгайцева,31,9,5,Ботаник,78803513140,115000,1
Коуп Ашхалицкий,36,8,0,Стрелочник,74639709356,125000,1
Нелаконида Сандыбаева,81,4,3,Актер,76987775853,109000,0
Марибел Ольгин,81,4,4,Web-программист,76525607016,142000,1
Усик Цыкарев,43,9,5,Египтолог,71523211340,102000,1
Алпдимир Ваняшин,51,0,4,Звукооператор,72747353375,126000,1
Айсылу Ежов,23,6,6,Тестировщик,74293339456,113000,1
Оразгельды Борцал,56,7,3,Стрелочник,72094766903,125000,0
Спиника Макоклюева,37,8,1,Балетмейстер,74447341559,147000,0
Натальчик Меньшинин,80,2,5,Стрелочник,75911871360,149000,0
Боно Двоешерстнов,67,7,0,Банкир,77317828115,107000,1
Ориель Пагирев,87,5,1,Проктолог,78126697160,112000,0
Гулизар Мамоненков,75,7,2,Физик,76024446805,129000,0
Роксия Тюкавина,81,4,2,Хирург,72142927065,124000,0
Аронка Пешехонова,78,7,7,Диджей,71538553865,109000,1
Абдульрахман Ахтулов,62,0,5,Оператор кино и телевидения,77367843680,144000,1
Муджиба Зебузова,28,4,7,Бизнес-аналитик,74274949579,120000,1
Анан Подглозин,91,1,7,Драпировщик,72105608436,107000,0
Хивонька Парвицкая,22,6,6,Ботаник,77130055997,132000,1
Кадиим Рабакидзе,50,7,5,Верстальщик,73054852692,111000,1
Лаимрота Боюнова,80,9,2,Наладчик,72213267982,107000,0
Кайя Требушонкова,22,7,3,Спичрайтер,78938889884,147000,1
Авенин Кисляков,30,3,6,Банкир,72885586178,112000,1
Мафтун Ключенко,42,0,6,Сварщик,75237197380,109000,1
Олупий Неменков,79,9,2,Менеджер по закупкам,78595323945,128000,0
Марго Никуло,46,4,6,Машинист,71542384798,111000,1
Фалассий Яресько,48,0,3,Дегустатор,77574029479,126000,0
Климентина Шакирзанова,21,0,1,Ихтиолог,72094766901,131000,0
Ерасим Минухин,26,5,3,Плотник,71861191928,100000,0
Туйгун Вик,23,9,5,Архитектор-проектировщик,76465719175,138000,0
Кенет Дамиров,39,0,3,Лаборант,76020315899,124000,0
Фалмай Наврузов,85,3,0,Логопед,77846666659,140000,0
Антряуф Перочинский,66,9,0,Сурдопедагог,71527164241,101000,0
Бернадета Кончева,43,0,3,Микробиолог,79143345795,126000,1
Вальдемар Пристомский,47,2,7,Менеджер торгового зала,75972067096,106000,1
Девина Подгребельная,27,6,1,Банкир,72127920296,126000,0
Арслом Тябут,96,9,1,Бортпроводник,77704413020,132000,0
Зубайжат Тапанов,39,6,2,Дворник,76465719166,137000,0
Фирдоус Нашиванько,49,3,6,Повар,76980741388,133000,0
Лаур Пигалов,84,8,7,Археолог,78320226614,104000,0
Фауза Шунтикова,40,9,3,Педиатр,78345341459,136000,1
Байгум Мазутченков,87,4,3,Критик,73593301048,107000,0
Лулибелл Боярков,75,2,5,Летчик,77576940230,128000,1
Ренжер Петручок,62,6,7,Кинодраматург,71240204121,132000,0
Совелий Лахманлос,51,8,6,Ботаник,75574081386,142000,1
Асфандиёр Заболотский,95,1,1,Биохимик,71599811452,100000,0
Владиславр Раздорских,22,0,1,Архитектор-проектировщик,78669671029,135000,0
Адвар Конфендрат,71,5,2,Курьер,77599055174,131000,0
Агзама Кошарина,24,9,2,Бизнес-аналитик,76235602005,119000,1
Карпик Немцович,72,4,7,Переплетчик,72458803827,126000,0
Стертей Санамов,66,6,3,Инженер-химик,71641428977,122000,1
Береза Тимковская,76,5,0,Фотомодель,74003477322,127000,0
Алун Болячий,21,6,4,Диетолог,79744146182,110000,1
Фрезентина Арленинова,80,5,5,Проректор,78910279088,136000,0
Калистус Гершунов,74,4,0,Банкир,73432519196,114000,1
Канан Корченов,76,2,5,Сталевар,72387913226,117000,1
Сабзи Шапранский,35,4,2,Стоматолог,73061100561,100000,0
Минда Бершицкая,75,7,2,Диспетчер,72462994680,135000,1
Сергияна Вахламкина,53,6,2,Диетолог,71720313026,147000,1
Гейр Вонгаз,43,3,3,Крановщик,71240204122,115000,0
Имама Конова,75,5,3,Библиограф,72783946933,129000,0
Щекарь Балалы,95,6,5,Проходчик,76213684571,101000,0
Яала Таточкина,53,8,6,Генный инженер,71704240676,136000,1
Заидат Триодин,26,6,3,Библиотекарь,75972162193,135000,1
Ахлима Надолиннская,84,3,4,Горняк,71427470077,104000,1
Нанда Борткова,68,5,1,Корректор,73580641035,132000,1
Павлин Негитайло,27,8,2,Историк,77452316629,121000,0
Лейха Буцаева,64,5,1,Web-интегратор,76678906385,142000,0
Шажара Планкина,81,8,4,Токсиколог,74123640512,133000,0
Яаар Емильянов,68,7,2,Бондарь,76939943061,143000,1
Иасим Мамылечев,75,7,4,Воспитатель,77225102006,124000,1
Епифантий Вахтенгейм,97,5,7,Консультант по туризму,79000457646,117000,0
Савият Пашаходжаев,92,1,5,Полицейский,72616524476,121000,0
Бубахан Букмус,93,3,0,Орнитолог,73030893048,106000,0
Абжел Кокпаев,40,0,3,Банкир,74997260046,111000,1
Сатир Фарфоров,33,6,1,Сурдопедагог,74381654050,145000,1
Евфродисий Бельгов,64,9,1,Электрик,74575203713,142000,0
Альфат Луцовск,47,0,1,Мерчендайзер,78085057350,115000,1
Снежанна Питонова,34,2,3,Стрелочник,79347327865,130000,1
Магомедмерза Ахагинская,41,6,1,Дворник,76094377908,143000,0
Аенеас Ниткин,91,1,4,Травматолог,77538907119,105000,1
Гельзифа Эрназарова,28,2,3,Генеральный секретарь,72066274934,146000,0
Айнул Шеремецкий,79,2,0,Психиатр,72014622208,124000,0
Ладвия Тенибекова,50,6,4,Оценщик,76465719167,109000,0
Геула Эпинатьева,28,8,1,Анестезиолог,75237577566,120000,1
Дула Винковская,93,9,0,Ботаник,74552282982,100000,1
Метровий Лопатенков,62,9,3,Физик,78934582428,138000,0
Галлия Агишева,33,0,5,Менеджер по персоналу,73652785483,107000,1
Согуда Райова,19,1,1,Менеджер по продажам,73960738422,138000,0
Тутый Лепетун,81,6,0,Матрос,73646512666,124000,1
Этлина Ипатенкова,75,4,3,Космонавт,77259192097,114000,1
Гальфиня Сипцова,60,6,0,HTML-верстальщик,77564591700,114000,1
Лимора Чешкова,27,6,6,Бухгалтер,74522890256,140000,1
Пеллагия Варсакова,30,3,4,Дизайнер-модельер,79769878081,139000,1
Чарлайз Шоренков,97,6,3,Сценарист,71894769024,120000,0
Адо Лагвилав,91,5,0,Бизнес-аналитик,71123062408,143000,0
Лаурали Моизар,55,3,4,Ботаник,78480354559,141000,0
Худжат Едвабный,79,7,5,Почвовед,73669129578,126000,1
Веритас Широкоштанов,26,6,6,Геоэколог,71933749467,111000,0
Владар Тукмачев,76,9,2,Станочник широкого профиля,71297537789,143000,0
Нетёс Ломатин,62,6,4,Дерматовенеролог,76523181924,137000,1
Мэлиса Андосова,95,1,2,Закройщик,76629168714,100000,0
Денола Хитревская,27,2,7,Диктор,71511822280,117000,1
Криселда Петрушка,86,4,3,Стрелочник,76808356890,137000,1
Сархаддий Айнакулов,98,5,0,Пекарь,78212287920,118000,0
Иссур Скудин,26,1,4,Дорожный инспектор,78347366832,132000,0
Гриффитц Масев,60,5,6,Психолог,73917448726,104000,0
Васфи Довматюк,33,1,6,Дегустатор,79011113010,140000,1
Гулюсар Перетейко,66,2,7,Проректор,74229599384,126000,0
Климан Малюткин,45,1,0,Водитель,73776930643,121000,0
Климентина Тягорчева,75,3,6,Флорист,78493075752,110000,1
Никс Тайгузанов,30,7,6,Стрелочник,71201418779,131000,1
Замби Шелыгин,85,8,3,Продавец-консультант,72298356103,131000,0
Тейксма Церпинская,93,1,7,Дегустатор,74234395817,147000,0
Глася Масерука,70,3,0,Ботаник,75204170307,121000,0
Майне Имутин,60,0,6,Сексолог,75245532339,128000,0
Аалок Икко,69,5,0,Фотограф,75903976040,142000,0
Эркин Бученко,51,4,7,Бульдозерист,71465571651,118000,0
Хусса Калотвина,90,4,6,Маклер,72823894244,114000,0
Терезезия Барнакова,79,8,3,Скотник,73184463110,126000,1
Агни Мусолин,45,3,3,Менеджер по туризму,76306014862,110000,1
Сабият Василенский,65,1,0,Дистрибутор,78992324416,116000,0
Лоурена Хаметдинова,25,1,2,Врач скорой помощи,73654552141,136000,0
Махеш Чугасов,25,2,7,Продавец-консультант,72000890233,130000,0
Алтан Личис,97,2,4,Дирижер,78914098351,106000,1
Авлерий Засас,92,6,3,Оператор машинного доения,79035428411,118000,1
Гранд Пагулич,94,4,0,Травматолог,72626658582,137000,0
Агаси Стогул,32,2,2,Сварщик,76140823568,100000,0
Зард Зибенгаар,73,7,5,Маркетолог,76840339262,144000,1
Ривал Страшников,59,2,7,Татуировщик,73368130385,117000,0
Руксандра Флямина,63,3,7,Горняк,79807933372,102000,1
Балхи Цниленков,86,1,3,Продавец-консультант,79078094721,143000,0
Багитжан Коростов,38,0,1,Кризис-менеджер,74125165554,148000,0
Алько Яволов,28,3,5,Оториноларинголог (ЛОР),78498636444,103000,1
Грациэлла Разамасцева,84,9,1,Математик,78001974946,121000,0
Услада Жустрова,48,1,3,Гид-переводчик,76209896568,131000,1
Келды Гивак,19,5,5,Следователь,71323607664,135000,0
Алышан Скобеев,68,9,7,Трейдер,71815632019,113000,0
Уржан Саржин,58,1,7,Менеджер по туризму,72853464693,117000,0
Сато Пфайфер,74,7,3,Каменщик,76205100207,115000,1
Феодотий Сабирзанов,68,9,6,Web-дизайнер,74489434982,116000,0
Васпие Шпарбер,36,9,4,Упаковщик,71163079267,146000,1
Дельция Дятлова,20,9,1,Стрелочник,72471950846,130000,1
Авзоний Чиченов,76,2,6,Социолог,77371572229,106000,0
Якуп Дюмон,47,3,7,﻿Адвокат,72648325310,123000,0
Рудоль Босурин,58,4,0,Культуролог,76115383817,133000,0
Бедуля Косичкина,18,7,7,Оператор ПК,76923249568,138000,1
Тея Петрова-Цивильская,38,6,1,Каскадер,79031170004,106000,0
Белджика Пика,38,9,1,Администратор базы данных,76586320771,121000,1
Прунела Ивенина,21,7,0,Стрелочник,78787777134,131000,0
Арарад Нагановский,83,7,7,Бизнес-аналитик,72561718832,143000,1
Афсане Везднев,85,9,3,Врач скорой помощи,78868293756,139000,0
Линна Блескова,44,6,1,Дегустатор,79503110539,138000,0
Ахак Михельзон,39,8,2,Банкир,73189311439,102000,1
Чинга Сайтумарова,87,6,7,Биоинженер,79477635386,135000,1
Сил Сорян,52,6,1,Моторист,74447341560,105000,0
Ахмеман Корзенко,54,5,4,Менеджер торгового зала,77930494626,119000,1
Аксак Панарский,90,7,3,Биохимик,72512216021,120000,1
Деяна Николодышева,88,7,0,Кризис-менеджер,79612735032,135000,1
Алайс Маринкуш,38,0,0,Стрелочник,71847223563,123000,1
Тэония Антистова,38,3,6,Бизнес-аналитик,76213684564,144000,0
Шафер Щербачевич,97,0,5,Судья,79876459983,144000,0
Хьфаф Чуракаев,79,1,2,Диктор,77880610632,140000,0
Галликан Швейнов,90,8,0,Врач-диетолог,71845268623,140000,0
Алёнушка Пядухова,69,5,4,Редактор,72878140638,129000,1
Ануар Крезин,22,3,6,Главный инженер,76297596547,145000,0
Актавиан Утлик,67,6,5,﻿Адвокат,75101360431,130000,1
Басил Двегубский,35,0,5,Мерчендайзер,74129502205,102000,0
Патрак Зичманчак,56,5,7,Банкир,74891861724,137000,0
Мамуна Галанкина,82,3,1,Ботаник,78840606469,138000,1
Хэйдин Лукиянец,26,5,3,Бармен,78347366831,125000,0
Мелдрик Маникеев,89,3,2,Таксист,76174627100,148000,0
Азныв Азовельт,24,4,6,Супервайзер,73544421073,104000,0
Ириний Мономахов,23,7,0,Шеф-повар,71695340346,135000,0
Ренал Андрющенко-Луценко,35,7,2,Маклер,78720823243,145000,1
Евх Цимбарг,45,7,7,Машинистка,79079954132,129000,0
Лукман Твердин,71,1,6,Бизнес-аналитик,72712695117,114000,1
Рузвельт Свинорев,35,0,1,Иллюстратор,79024455463,111000,0
Венеслав Немальцев,84,1,4,Экономист,72127920299,128000,0
Барри Аугшкап,57,6,7,Сценарист,73538861920,134000,1
Кирнвуд Тулов,66,1,5,Стюардесса,76655687561,131000,1
Бобохан Мятов,45,5,7,Фальцовщик,77969382181,148000,0
Джиосия Нещекина,31,5,2,Делопроизводитель,77295667425,144000,0
Еллизавета Тенедиева,97,7,3,Кондитер,76378702642,122000,1
Гринарета Мастокова,85,2,6,Спичрайтер,79295301109,144000,1
Меграб Джагацпанян,81,6,0,Лингвист,77476707729,133000,1
Шурэн Ханшивили,42,3,7,Контент-менеджер,74856156928,126000,0
Базилия Болотская,20,7,3,Дегустатор,78162334634,100000,0
Володимир Боковиков,76,6,5,Нефролог,79466993114,118000,0
Асуд Малобродский,24,5,6,Главный конструктор,77509027487,107000,0
Авдан Гокунь,77,2,4,Дизайнер-модельер,77930214427,133000,0
Валимар Колычалов,64,8,4,Эндокринолог (специалист по гормонам),71271271432,122000,0
Ирания Немыкова,58,6,6,Капитан судна,71695340345,100000,0
Лейб Терушкин,39,3,4,Инженер-конструктор,78766283239,104000,1
Зулейма Саканова,81,0,6,Архитектор-проектировщик,73598695655,120000,1
Атамрат Галанский,83,1,1,Артист цирка,79469546449,127000,0
Уил Молостовов,43,8,4,Танцор балета,78763514880,114000,1
Алине Цымбал,33,6,6,Бухгалтер,71935418494,115000,1
Сбылют Зенищев,54,8,0,Менеджер по логистике,75151843404,132000,1
Геза Плотицкая,47,9,1,Стрелочник,71473700381,120000,1
Абдурома Гильмандинова,64,6,3,HTML-верстальщик,74437310485,125000,0
Розелия Дицунова,87,4,4,Промышленный альпинист,74858224905,138000,1
Блаш Лутовинин,62,8,1,Скотник,73226862311,104000,1
Гецо Чурдалев,88,0,5,Теолог,78346715417,120000,0
Эгеус Кокаулин,46,2,4,Маркетолог,79315564727,109000,0
Вафаи Овечкин,60,4,4,Социолог,79733728184,135000,1
Абусупьян Погодон,26,0,5,Бизнес-аналитик,76757536326,116000,1
Свойбог Будрис,47,1,6,Корректор,74980701482,148000,1
Аксиня Благочева,23,2,0,Аниматор,74744795529,131000,0
Усяргул Аравин,39,6,6,Стрелочник,73585915803,100000,1
Артюш Хечинов,45,1,4,Web-программист,77724683135,145000,1
Ладда Калачина,60,0,6,Администратор салона красоты,75832624621,123000,1
Баз Чуболдейкин,65,2,4,Испытатель,77587020804,115000,1
Дильбера Корнеева,46,2,4,Гинеколог,78346715410,114000,0
Оленександра Гагуева,91,1,4,Бизнес-аналитик,74398265587,109000,1
Умысл Казацкий,90,7,3,Супервайзер,76620582661,130000,0
Звиад Зюзькевич,36,6,6,Верстальщик,72588419872,119000,1
Мирсана Сайфимилюкова,27,8,0,Менеджер по персоналу,77036593631,106000,1
Бехрам Бланкфельд,87,1,4,Уборщица,79099819416,136000,1
Кинел Арнович,66,5,0,Банкир,72891594855,141000,0
Никбахт Лаптов,52,7,7,Спортсмен,72987124470,132000,1
Аиля Бужурина,79,9,6,Финансист,71530870515,119000,0
Рухфаза Кусакова,73,4,7,Аудитор,76687920609,133000,0
Муктафи Мастио,84,7,4,Конструктор,71799652884,108000,0
Арган Курцев,67,9,5,Плотник,71427530415,145000,1
Элишва Алипова,84,1,0,Отделочник,75177962889,114000,0
Порвал Крючихин,81,7,2,Дегустатор,73278132347,105000,0
Хубертус Голодяев,86,0,6,Продавец-консультант,75293041568,128000,0
Даниль Палейчик,37,9,7,Врач скорой помощи,78347494368,143000,0
Атья Прудентова,79,5,1,Врач скорой помощи,73687037098,112000,1
Флорендина Авхадеева,82,7,7,Философ,71360858313,100000,1
Тумайсат Дюмаев,81,2,5,Настройщик музыкальных инструментов,75058801139,109000,1
Шифа Трощинская,93,4,1,Милиционер,79488114872,140000,0
Татик Летник,61,7,5,Стилист,77892483049,118000,0
Дана Тхамафокова,95,3,4,Кладовщик,77473705515,106000,0
Гемелла Бежкова,51,0,6,Делопроизводитель,72732922443,147000,1
Масиродин Талаболин,36,2,6,Визажист,72425240076,134000,0
Сажида Губольцева,33,9,4,Переводчик,76931560251,102000,1
Иоганна Черноводская,54,1,1,Переводчик,75053294256,118000,1
Пион Атамян,93,7,6,Иллюстратор,79527304417,143000,1
Кавиткумар Эмбик,74,6,0,Заведующий складом,77228329829,106000,0
Галит Курюхин,53,8,1,Краснодеревщик,73264725758,122000,1
Майне Доцик,79,0,4,Палеонтолог,73908231584,136000,1
Батур Бензарь,20,5,3,Тележурналист,71015761498,132000,0
Офтоб Яскин,33,2,0,Литейщик,78721073138,127000,0
Францишка Тоболкина,40,0,0,Сценарист,76117685221,112000,0
Вирсава Лочинова,25,2,2,Кардиохирург,75917511911,139000,1
Маркиян Слутин,23,8,4,Логист,72525822586,113000,0
Зурафа Вашлаева,23,7,4,Наладчик,73029792517,132000,1
Агофон Стрепулин,52,7,7,Банкир,74441282079,121000,1
Аджимет Шелохнев,31,1,6,Авиадиспетчер,75804461226,149000,0
Гриффи Ревкин,49,5,0,Телохранитель,77573017980,120000,0
Бата Чечекина,25,5,1,Машинист,72129785292,123000,1
Клея Ножева,31,8,2,Бизнес-аналитик,78462844925,106000,1
Агаз Коршаков,91,6,1,Реаниматолог,75195561144,114000,1
Керен Лотяну,33,5,6,Банкир,77870548667,109000,1
Сунни Орхимовский,28,1,2,Менеджер по продажам,72343879736,141000,0
Братолюб Терюшнов,36,1,0,Визажист,75708677564,132000,0
Агафон Споре,56,9,0,Инженер-конструктор,74061810993,148000,0
Лара Фаброва,62,5,1,Зоолог,71302074375,120000,1
Алигаджи Шичкин,33,6,5,Генеральный секретарь,79619162626,136000,1
Елгуджа Глазатова,96,7,5,Дегустатор,76712782051,121000,0
Хош Салахотдинов,21,3,1,Цветочница,72724222936,116000,0
Тэтчер Мещаряков,60,7,6,Библиотекарь,79184925309,120000,1
Нежма Нигина,74,2,5,Стрелочник,77463599476,117000,1
Андария Дряпикова,72,2,2,Ботаник,74855907452,128000,0
Сьюзен Комаристов,26,0,1,Историк,73766831622,125000,0
Феания Таребилова,24,7,6,Часовщик,78953339655,102000,1
Аноит Ожерелков,89,3,5,Разведчик,74646336601,146000,0
Аакил Бедро,62,4,1,Космонавт,75243915211,146000,0
Саидмурат Фернандее,21,1,6,Банкир,79463895212,132000,0
Нида Даньшена,55,0,6,Литейщик,75475040989,108000,1
Зикир Лахно,52,8,5,Брокер,79306285767,145000,1
Орентий Супанев,29,5,0,Татуировщик,75870270885,135000,0
Артёмка Демьяковская,62,7,2,Фельдшер,72546041771,125000,1
Ячеслава Миразимова,47,9,1,Судебный пристав,78141270469,127000,1
Руниза Борзилова,21,9,3,Критик,79185451569,133000,0
Макрам Сотеков,55,7,4,Художник,72891594868,134000,0
Татяна Шамановская,42,9,7,Бухгалтер,71334016039,138000,1
Умм Базиленко,85,1,3,Спортивный тренер,75116532448,112000,0
Курайши Жемугов,52,7,3,Статистик,78939221322,148000,1
Ювилия Кондаранцева,37,9,7,Бизнес-консультант,77179037747,136000,1
Платон Юричев,32,8,3,Швея,78771126574,105000,0
Мухлисат Несинов,96,7,3,Заведующий складом,78805689774,123000,0
Хассиба Полечаева,89,3,3,Военнослужащий,79031170001,116000,0
Ифрат Грипевецкий,34,1,0,Ботаник,72069678648,148000,1
Идеана Шингурова,81,9,6,Менеджер по продажам,78625349412,138000,0
Вагидат Алиуллов,45,1,2,Автогонщик,78024631417,144000,1
Минзаля Асимарина,38,7,4,Онколог,73788446752,134000,1
Благовеста Аскалонова,67,5,5,Комбайнер,77332845811,149000,1
Кандидо Амельчук,46,3,5,Швея,71864588023,125000,1
Аксеня Стюднева,70,0,1,Испытатель,76622384264,106000,1
Юра Тиндронова,73,6,6,Художник по костюму,77432734094,103000,1
Веалетта Самосурикова,20,1,5,Бизнес-аналитик,72715170061,130000,0
Кургамбек Тикусов,94,2,0,Драпировщик,79540554267,116000,0
Акрамзон Мовшович,18,0,3,Ботаник,74200586211,148000,1
Химмат Курдин,49,2,2,Генетик,79380532091,122000,0
Ремира Мосоха,20,9,6,Дегустатор,77152904898,149000,0
Ванзета Быковая,87,6,5,Моторист,71610997076,146000,1
Джилау Кананов,82,4,3,Печатник,78339842624,113000,0
Тумен Себекин,29,0,4,Логопед,79053014904,136000,0
Филетер Погосиян,83,3,2,Фрезеровщик,75709369907,147000,0
Адилшах Кимарцев,74,3,5,Бизнес-аналитик,79187852744,117000,1
Фадмешерфе Сосенушкин,94,8,5,Психотерапевт,77298625888,119000,0
Шамама Талатенкова,87,4,0,Артист цирка,72443844349,139000,0
Брам Хайнус,63,7,1,Киномеханик,77406248036,110000,1
